"id","activitat_id","userid","datesubmitted","grade","nevaluations"
112663,5,763,1665421872,100,1
20111,5,779,1663663293,100,3
20532,5,780,1663665996,100,5
20592,5,781,1663666313,100,4
13871,5,782,1663580902,100,4
285611,5,787,1673865376,100,2
54600,5,789,1664359559,100,3
18191,5,790,1663611138,100,2
20070,5,792,1663662784,100,9
17589,5,793,1663605886,100,10
19983,5,794,1663661513,100,6
20609,5,797,1663666391,100,1
20100,5,798,1663663181,100,3
20068,5,801,1663662749,100,3
23287,5,805,1663694444,100,1
29919,5,807,1663775963,100,1
20083,5,808,1663663065,100,1
44643,5,823,1664127314,100,6
21324,5,858,1663672584,100,1
21521,5,859,1663674049,100,1
21621,5,860,1663674738,100,2
21109,5,861,1663670801,100,1
46426,5,862,1664201175,100,1
44781,5,864,1664131105,100,1
21198,5,870,1663671415,100,5
17205,5,871,1663603569,100,1
137228,5,872,1665847797,100,3
21373,5,873,1663672925,100,1
21358,5,874,1663672801,100,1
38724,5,875,1663927916,100,1
44563,5,876,1664125755,100,1
21037,5,877,1663670084,100,10
21381,5,878,1663672968,100,1
21081,5,880,1663670560,100,5
21108,5,881,1663670800,100,3
23002,5,882,1663690867,100,1
63975,5,884,1664527078,100,3
11076,5,885,1663525264,100,2
21531,5,886,1663674107,100,3
54377,5,887,1664358416,100,1
21565,5,888,1663674319,100,1
21133,5,889,1663670929,100,4
29676,5,890,1663774499,100,1
41651,5,891,1664018901,100,2
21401,5,892,1663673067,100,3
24466,5,893,1663707358,100,2
23795,5,894,1663699488,100,1
31539,5,906,1663791031,100,1
13492,5,987,1663579609,100,1
13864,5,991,1663580873,100,1
21101,5,994,1663670744,100,1
13514,5,998,1663579755,100,6
43362,5,1003,1664102654,100,1
14710,5,1007,1663583720,100,2
40561,5,1017,1663950370,100,1
17417,5,1018,1663605192,100,2
23058,5,1019,1663691964,100,1
25046,5,1023,1663743879,100,7
7015,5,1025,1663324811,100,2
11572,5,1033,1663532922,100,1
21072,5,1034,1663670480,100,9
22534,5,1039,1663686593,100,1
22675,5,1044,1663687858,100,1
21806,5,1047,1663676209,100,1
13933,5,1050,1663581095,100,2
11077,5,1068,1663525280,100,6
17181,5,1078,1663603258,100,15
32702,5,1215,1663838187,100,1
54447,5,1221,1664358840,100,1
21205,5,1236,1663671467,100,5
189850,5,1260,1666718619,100,4
280389,5,1317,1673415429,100,1
33459,5,1333,1663841814,100,2
160104,5,1369,1666166897,100,1
166737,5,1384,1666255260,100,4
292550,5,1391,1674663372,100,3
13487,6,227,1663579564,100,3
10582,6,229,1663516614,100,1
13958,6,241,1663581178,100,3
13491,6,279,1663579591,100,6
3998,6,292,1663255048,100,2
15363,6,295,1663593244,100,3
17604,6,335,1663605957,100,2
46355,6,339,1664200359,100,3
2260,6,340,1663103674,100,3
17812,6,346,1663607921,100,1
13397,6,347,1663579163,100,3
14407,6,369,1663582567,100,3
13547,6,370,1663579881,100,1
13445,6,372,1663579373,100,3
15222,6,382,1663591179,100,3
9876,6,427,1663496960,100,2
17551,6,431,1663605759,100,1
13666,6,437,1663580293,100,2
14447,6,441,1663582712,100,1
30651,6,451,1663781248,100,5
25047,6,453,1663743908,100,10
13745,6,454,1663580508,100,2
14110,6,469,1663581638,100,1
53761,6,481,1664353735,100,5
13657,6,485,1663580265,100,3
13775,6,500,1663580563,100,3
17776,6,506,1663607555,100,3
10036,6,520,1663502558,100,3
13590,6,521,1663580068,100,2
44374,6,591,1664122179,100,1
35273,6,641,1663859834,100,4
20625,6,721,1663666476,100,2
26116,6,723,1663748848,100,2
20750,6,724,1663667076,100,2
112775,6,763,1665422500,100,4
20751,6,779,1663667092,100,16
22873,6,780,1663689747,100,8
33734,6,781,1663843270,100,1
25322,6,782,1663745532,100,10
285623,6,787,1673865678,100,4
54910,6,789,1664361010,100,3
29986,6,790,1663776412,100,2
20178,6,792,1663663635,100,2
19757,6,793,1663659472,100,2
20452,6,794,1663665487,100,1
20943,6,797,1663668718,100,2
20710,6,798,1663666883,100,1
20182,6,801,1663663660,100,3
33903,6,805,1663844815,100,12
30431,6,807,1663779074,100,3
20556,6,808,1663666107,100,5
44673,6,823,1664127763,100,1
21402,6,858,1663673088,100,1
28416,6,859,1663763714,100,2
21741,6,860,1663675632,100,1
21348,6,861,1663672733,100,3
48042,6,862,1664224576,100,4
46682,6,864,1664205838,100,2
21693,6,870,1663675300,100,12
21848,6,871,1663676973,100,2
137328,6,872,1665848874,100,8
21699,6,873,1663675328,100,2
21426,6,874,1663673296,100,2
38741,6,875,1663928061,100,1
44575,6,876,1664125899,100,1
21278,6,877,1663672028,100,4
58955,6,878,1664405642,100,4
21298,6,880,1663672342,100,2
21308,6,881,1663672466,100,2
23027,6,882,1663691357,100,1
77022,6,884,1664811740,100,2
11182,6,885,1663526645,100,4
22892,6,886,1663689927,100,1
54581,6,887,1664359469,100,9
21768,6,888,1663675828,100,4
21378,6,889,1663672944,100,1
29722,6,890,1663774751,100,2
41932,6,891,1664028032,100,2
21483,6,892,1663673747,100,3
45995,6,893,1664192278,100,3
42725,6,894,1664048133,100,8
40832,6,906,1663957247,100,1
13615,6,987,1663580161,100,3
14156,6,991,1663581770,100,1
44749,6,994,1664130189,100,8
162715,6,998,1666181091,100,3
43407,6,1003,1664103501,100,2
14732,6,1007,1663583808,100,2
40575,6,1017,1663950737,100,1
20144,6,1018,1663663476,100,3
23104,6,1019,1663692450,100,2
25071,6,1023,1663744043,100,6
23915,6,1025,1663700837,100,1
16993,6,1033,1663601644,100,2
22432,6,1034,1663685262,100,1
50407,6,1039,1664291071,100,9
22736,6,1044,1663688655,100,1
21814,6,1047,1663676318,100,1
14160,6,1050,1663581787,100,1
21284,6,1068,1663672108,100,2
22542,6,1078,1663686620,100,12
45977,6,1215,1664191855,100,5
54753,6,1221,1664360232,100,1
21374,6,1236,1663672928,100,2
189910,6,1260,1666719075,100,7
280391,6,1317,1673415629,100,2
33547,6,1333,1663842244,100,4
245165,6,1369,1668421028,100,8
166790,6,1384,1666255823,100,5
293418,6,1391,1674822561,100,2
14709,7,227,1663583716,100,12
10654,7,229,1663517447,100,4
13730,7,241,1663580466,100,2
13516,7,279,1663579758,100,1
4028,7,292,1663255615,100,2
13934,7,295,1663581096,100,6
13736,7,335,1663580482,100,2
13849,7,339,1663580798,100,3
13520,7,340,1663579776,100,7
17780,7,346,1663607616,100,6
13510,7,347,1663579732,100,1
13678,7,369,1663580345,100,1
13496,7,370,1663579648,100,1
13502,7,372,1663579697,100,1
13875,7,382,1663580912,100,3
13466,7,427,1663579453,100,2
13922,7,431,1663581069,100,2
13570,7,437,1663579938,100,1
14688,7,441,1663583609,100,3
13742,7,451,1663580501,100,1
23381,7,453,1663695542,100,3
13530,7,454,1663579818,100,2
13804,7,469,1663580656,100,1
53856,7,481,1664354305,100,1
13729,7,485,1663580466,100,1
14008,7,500,1663581342,100,4
17848,7,506,1663608315,100,1
10056,7,520,1663503303,100,3
13731,7,521,1663580472,100,1
44415,7,591,1664122702,100,2
35317,7,641,1663860303,100,4
20643,7,721,1663666577,100,2
24189,7,723,1663704248,100,2
20845,7,724,1663667817,100,4
116078,7,763,1665485587,100,2
30685,7,779,1663781549,100,9
20620,7,780,1663666450,100,2
33745,7,781,1663843337,100,1
14080,7,782,1663581547,100,5
285652,7,787,1673866059,100,3
55065,7,789,1664361779,100,3
20642,7,790,1663666575,100,1
20234,7,792,1663664136,100,2
19785,7,793,1663659791,100,2
20395,7,794,1663665014,100,2
20736,7,797,1663667028,100,3
20352,7,798,1663664833,100,3
20289,7,801,1663664503,100,9
24380,7,805,1663706287,100,1
30436,7,807,1663779123,100,1
20421,7,808,1663665281,100,1
44704,7,823,1664128471,100,3
21331,7,858,1663672622,100,1
24323,7,859,1663705720,100,2
22829,7,860,1663689369,100,2
21212,7,861,1663671517,100,2
46924,7,862,1664209537,100,1
46689,7,864,1664205952,100,2
21473,7,870,1663673587,100,4
21553,7,871,1663674254,100,1
137359,7,872,1665849176,100,1
21468,7,873,1663673552,100,4
21560,7,874,1663674303,100,4
38755,7,875,1663928210,100,1
44585,7,876,1664126007,100,1
21214,7,877,1663671519,100,5
21387,7,878,1663673007,100,1
21201,7,880,1663671429,100,7
21227,7,881,1663671599,100,2
23032,7,882,1663691454,100,1
80959,7,884,1664884525,100,8
24094,7,885,1663702916,100,5
22958,7,886,1663690429,100,1
54659,7,887,1664359869,100,3
44116,7,888,1664119416,100,5
21282,7,889,1663672045,100,1
29860,7,890,1663775627,100,5
41877,7,891,1664026428,100,1
21492,7,892,1663673845,100,1
46019,7,893,1664192747,100,3
23804,7,894,1663699543,100,1
40938,7,906,1663959648,100,2
13839,7,987,1663580770,100,1
14533,7,991,1663583050,100,4
30898,7,994,1663783327,100,1
13754,7,998,1663580521,100,2
43423,7,1003,1664104128,100,1
14743,7,1007,1663583871,100,1
46883,7,1017,1664208889,100,3
20203,7,1018,1663663873,100,2
23128,7,1019,1663692726,100,2
25145,7,1023,1663744614,100,12
23920,7,1025,1663700870,100,1
13903,7,1033,1663580991,100,1
21369,7,1034,1663672914,100,4
31525,7,1039,1663790803,100,1
22754,7,1044,1663688835,100,1
21823,7,1047,1663676501,100,2
14459,7,1050,1663582771,100,1
21195,7,1068,1663671401,100,3
22582,7,1078,1663686961,100,1
32811,7,1215,1663838670,100,1
54875,7,1221,1664360805,100,1
21280,7,1236,1663672032,100,1
189945,7,1260,1666719485,100,2
280394,7,1317,1673415907,100,3
33575,7,1333,1663842375,100,2
245258,7,1369,1668421946,100,5
293458,7,1391,1674828472,100,5
14789,8,227,1663584089,100,3
13425,8,229,1663579317,100,1
13866,8,241,1663580884,100,1
13554,8,279,1663579896,100,1
13539,8,292,1663579844,100,2
13880,8,295,1663580941,100,2
13985,8,335,1663581288,100,1
14047,8,339,1663581463,100,1
13649,8,340,1663580242,100,2
14087,8,346,1663581559,100,3
13599,8,347,1663580101,100,1
13867,8,369,1663580884,100,1
13613,8,370,1663580159,100,1
13548,8,372,1663579882,100,1
15555,8,382,1663594125,100,7
13517,8,427,1663579758,100,1
14128,8,431,1663581685,100,1
13761,8,437,1663580539,100,1
14066,8,441,1663581512,100,3
13984,8,451,1663581287,100,2
23389,8,453,1663695603,100,15
13844,8,454,1663580785,100,1
13929,8,469,1663581088,100,1
54020,8,481,1664355096,100,1
13823,8,485,1663580710,100,1
14112,8,500,1663581648,100,1
17903,8,506,1663608903,100,1
10059,8,520,1663503619,100,1
13902,8,521,1663580990,100,1
45316,8,591,1664173753,100,2
35381,8,641,1663860728,100,2
20654,8,721,1663666626,100,2
26211,8,723,1663749185,100,1
20946,8,724,1663668745,100,2
116131,8,763,1665485987,100,2
20778,8,779,1663667338,100,1
22938,8,780,1663690304,100,4
33781,8,781,1663843669,100,1
25419,8,782,1663745913,100,2
285666,8,787,1673866312,100,2
55221,8,789,1664362404,100,1
28157,8,790,1663761542,100,2
20325,8,792,1663664668,100,2
19806,8,793,1663660092,100,1
20559,8,794,1663666116,100,1
22133,8,797,1663681712,100,1
20795,8,798,1663667430,100,1
20359,8,801,1663664861,100,1
33993,8,805,1663845626,100,2
30502,8,807,1663779904,100,1
20590,8,808,1663666309,100,1
44715,8,823,1664128949,100,1
21451,8,858,1663673433,100,1
28434,8,859,1663764072,100,1
22900,8,860,1663689991,100,1
21450,8,861,1663673431,100,1
47004,8,862,1664210582,100,3
46701,8,864,1664206073,100,1
27270,8,870,1663755113,100,22
22643,8,871,1663687440,100,1
137397,8,872,1665849445,100,1
22749,8,873,1663688804,100,1
21625,8,874,1663674758,100,1
38798,8,875,1663928625,100,3
44599,8,876,1664126232,100,1
21316,8,877,1663672519,100,2
21586,8,878,1663674468,100,2
21514,8,880,1663674018,100,3
21575,8,881,1663674418,100,7
23054,8,882,1663691904,100,2
97044,8,884,1665140830,100,11
24158,8,885,1663703846,100,1
22991,8,886,1663690716,100,1
54975,8,887,1664361409,100,5
33227,8,888,1663840566,100,3
21465,8,889,1663673505,100,1
33147,8,890,1663840267,100,12
41896,8,891,1664026809,100,1
21542,8,892,1663674183,100,1
46027,8,893,1664192957,100,1
42727,8,894,1664048578,100,1
40942,8,906,1663960084,100,1
14024,8,987,1663581394,100,1
14736,8,991,1663583836,100,3
44771,8,994,1664130640,100,1
13940,8,998,1663581130,100,1
43483,8,1003,1664105764,100,2
14756,8,1007,1663583947,100,1
46904,8,1017,1664209112,100,3
20254,8,1018,1663664283,100,2
23145,8,1019,1663692895,100,1
25173,8,1023,1663744736,100,3
23925,8,1025,1663700901,100,1
14103,8,1033,1663581616,100,1
22491,8,1034,1663686066,100,1
50424,8,1039,1664291208,100,2
22810,8,1044,1663689267,100,1
21824,8,1047,1663676533,100,1
14726,8,1050,1663583782,100,3
21302,8,1068,1663672372,100,2
29437,8,1078,1663772528,100,2
46011,8,1215,1664192585,100,1
54955,8,1221,1664361253,100,1
21482,8,1236,1663673744,100,7
189975,8,1260,1666719739,100,1
280396,8,1317,1673416081,100,2
33639,8,1333,1663842703,100,5
245306,8,1369,1668422386,100,1
293459,8,1391,1674828988,100,1
14033,9,227,1663581420,100,1
13596,9,229,1663580092,100,1
14105,9,241,1663581623,100,1
13589,9,279,1663580068,100,1
13805,9,292,1663580657,100,3
15405,9,295,1663593465,100,1
17682,9,335,1663606430,100,3
46384,9,339,1664200624,100,1
13766,9,340,1663580545,100,2
33718,9,346,1663843122,100,6
13741,9,347,1663580499,100,2
14153,9,369,1663581768,100,2
13863,9,370,1663580872,100,1
13587,9,372,1663580059,100,2
15270,9,382,1663592491,100,3
13924,9,427,1663581075,100,2
17657,9,431,1663606284,100,1
13909,9,437,1663581020,100,1
17029,9,441,1663601938,100,4
30670,9,451,1663781422,100,1
18154,9,453,1663610848,100,1
14003,9,454,1663581335,100,1
37402,9,469,1663915079,100,2
56599,9,481,1664374649,100,2
13932,9,485,1663581092,100,1
14341,9,500,1663582266,100,2
33650,9,506,1663842760,100,3
10074,9,520,1663503978,100,2
14058,9,521,1663581490,100,1
45317,9,591,1664174165,100,1
35426,9,641,1663861048,100,3
20658,9,721,1663666645,100,1
20790,9,723,1663667414,100,1
22619,9,724,1663687185,100,5
116174,9,763,1665486225,100,2
20701,9,779,1663666836,100,3
20713,9,780,1663666893,100,3
33815,9,781,1663844018,100,1
25464,9,782,1663746112,100,1
285673,9,787,1673866570,0,1
55523,9,789,1664363808,100,8
20796,9,790,1663667431,100,2
20485,9,792,1663665699,100,2
19845,9,793,1663660552,100,1
20499,9,794,1663665815,100,1
20756,9,797,1663667120,100,1
20629,9,798,1663666486,100,1
20451,9,801,1663665483,100,5
30348,9,805,1663778425,100,1
30525,9,807,1663780217,100,1
20645,9,808,1663666584,100,1
44723,9,823,1664129201,100,1
21541,9,858,1663674172,100,2
21880,9,859,1663677464,100,5
23004,9,860,1663690877,100,1
21535,9,861,1663674146,100,2
47019,9,862,1664210779,100,1
46705,9,864,1664206137,100,1
32460,9,870,1663836336,100,1
21845,9,871,1663676954,100,7
145118,9,872,1665997560,100,2
22945,9,873,1663690336,100,4
21721,9,874,1663675490,100,1
38852,9,875,1663929093,100,1
44605,9,876,1664126327,100,1
21385,9,877,1663672989,100,2
21601,9,878,1663674596,100,2
21447,9,880,1663673384,100,7
21471,9,881,1663673576,100,6
23036,9,882,1663691525,100,1
97054,9,884,1665140956,100,3
24428,9,885,1663706816,100,1
21540,9,886,1663674168,100,1
57801,9,887,1664384892,100,9
21690,9,888,1663675275,100,1
21649,9,889,1663674947,100,3
30836,9,890,1663782785,100,1
41919,9,891,1664027590,100,2
21656,9,892,1663675021,100,5
46040,9,893,1664193152,100,2
42732,9,894,1664049102,100,4
67987,9,906,1664700304,100,1
14276,9,987,1663582083,100,1
16821,9,991,1663600038,100,1
44778,9,994,1664130843,100,2
162810,9,998,1666182014,100,7
43521,9,1003,1664106691,100,4
14807,9,1007,1663584162,100,2
40656,9,1017,1663954508,100,1
20370,9,1018,1663664904,100,1
23165,9,1019,1663693188,100,1
25196,9,1023,1663744899,100,4
23930,9,1025,1663700927,100,1
17049,9,1033,1663602083,100,1
21522,9,1034,1663674065,100,1
57922,9,1039,1664385883,100,15
22837,9,1044,1663689431,100,1
21825,9,1047,1663676554,100,1
25364,9,1050,1663745665,100,2
21336,9,1068,1663672649,100,1
22694,9,1078,1663688082,100,1
33847,9,1215,1663844246,100,2
59347,9,1221,1664440724,100,1
21530,9,1236,1663674104,100,2
190028,9,1260,1666720236,100,1
280398,9,1317,1673416378,100,2
33664,9,1333,1663842832,100,2
245354,9,1369,1668422843,100,1
166899,9,1384,1666256611,0,1
293461,9,1391,1674829590,100,2
14258,10,227,1663582050,100,1
14063,10,229,1663581503,100,2
14274,10,241,1663582080,100,2
13952,10,279,1663581161,100,11
14219,10,292,1663581978,100,4
14223,10,295,1663581984,100,1
14256,10,335,1663582046,100,1
14272,10,339,1663582077,100,1
14017,10,340,1663581379,100,2
50759,10,346,1664294602,100,10
14486,10,347,1663582883,100,5
14363,10,369,1663582365,100,3
14213,10,370,1663581952,100,2
13707,10,372,1663580425,100,7
16854,10,382,1663600407,100,4
14184,10,427,1663581886,100,1
14322,10,431,1663582224,100,2
14943,10,437,1663585571,100,1
14295,10,441,1663582147,100,1
14230,10,451,1663581995,100,1
23407,10,453,1663695740,100,9
14277,10,454,1663582086,100,1
14284,10,469,1663582110,100,1
56774,10,481,1664375257,100,1
14228,10,485,1663581992,100,4
14430,10,500,1663582651,100,1
44154,10,506,1664119764,100,4
10135,10,520,1663504862,100,1
14266,10,521,1663582068,100,2
45330,10,591,1664176053,100,5
50268,10,641,1664289688,100,6
20726,10,721,1663666973,75,8
26357,10,723,1663749888,100,4
26884,10,724,1663752969,100,1
125164,10,763,1665652529,100,5
30693,10,779,1663781665,100,1
22809,10,780,1663689245,100,6
36405,10,781,1663868106,100,2
14244,10,782,1663582022,100,2
55573,10,789,1664364073,100,1
30104,10,790,1663777082,100,3
20744,10,792,1663667046,100,1
19942,10,793,1663661217,100,2
29785,10,794,1663775220,100,21
27964,10,797,1663759357,100,4
30626,10,798,1663781080,100,1
20762,10,801,1663667175,100,1
44134,10,805,1664119616,100,8
33239,10,807,1663840628,100,2
23399,10,808,1663695688,100,1
293895,10,823,1674909020,75,4
21695,10,858,1663675304,100,1
21838,10,859,1663676785,100,6
27087,10,860,1663754214,100,2
21739,10,861,1663675614,100,1
48080,10,862,1664225138,100,2
46709,10,864,1664206169,100,1
54380,10,870,1664358428,100,3
32626,10,871,1663837644,100,7
137505,10,872,1665850654,100,1
26708,10,873,1663751744,100,15
21801,10,874,1663676145,100,4
262659,10,875,1669807748,100,11
44611,10,876,1664126447,100,1
21664,10,877,1663675077,100,4
59554,10,878,1664442441,100,5
21791,10,880,1663675991,100,28
21799,10,881,1663676102,100,14
23062,10,882,1663692039,100,1
97058,10,884,1665141022,100,2
27551,10,885,1663757249,100,2
23017,10,886,1663691138,100,2
87820,10,887,1664970140,100,13
283186,10,888,1673738791,100,10
24695,10,889,1663710063,100,3
34577,10,890,1663851421,100,1
46227,10,891,1664196727,100,2
21762,10,892,1663675791,100,2
46061,10,893,1664193672,100,2
42995,10,894,1664094445,100,3
171142,10,906,1666357979,100,7
14410,10,987,1663582573,100,1
17054,10,991,1663602137,100,1
44780,10,994,1664131080,100,1
14303,10,998,1663582171,100,4
43682,10,1003,1664109753,100,1
19584,10,1007,1663657825,100,12
238791,10,1017,1667934824,100,11
20445,10,1018,1663665456,100,3
23394,10,1019,1663695640,100,1
248615,10,1023,1668511635,100,38
23935,10,1025,1663700945,100,1
14318,10,1033,1663582208,100,1
23740,10,1034,1663698816,100,1
50380,10,1039,1664290680,100,1
23067,10,1044,1663692105,100,1
23371,10,1047,1663695437,100,2
25611,10,1050,1663746805,100,1
21643,10,1068,1663674900,100,5
286190,10,1078,1673880842,100,1
